eef_point,tip_point,uv
[-0.276006 -0.45498   0.304999 -0.090001 -0.045001  0.087998],[-0.66926564 -0.44122847  0.30499414],"[579, 229]"
[-0.275974 -0.455025  0.304982 -0.090005 -0.044999  0.08601 ],[-0.66851855 -0.42762012  0.30495772],"[505, 225]"
[-0.276005 -0.454994  0.305001 -0.090001 -0.045002  0.085   ],[-0.66800719 -0.42069338  0.30499614],"[469, 224]"
[-0.275999 -0.474998  0.304989 -0.090002 -0.045004  0.088004],[-0.66925991 -0.4612828   0.30497929],"[688, 226]"
[-0.285996 -0.455007  0.304961 -0.090004 -0.045003  0.088005],[-0.67925681 -0.44128895  0.30494158],"[579, 280]"
[-0.285996 -0.455     0.304984 -0.090003 -0.045001  0.086003],[-0.67853787 -0.42755685  0.30496943],"[505, 280]"
[-0.285984 -0.465007  0.305006 -0.089999 -0.044999  0.088001],[-0.6792447  -0.45128577  0.30501086],"[634, 279]"
[-0.285993 -0.475001  0.305015 -0.089998 -0.044999  0.087999],[-0.67925339 -0.46127089  0.30502471],"[688, 279]"
[-0.28602  -0.474969  0.305005 -0.089995 -0.045005  0.085993],[-0.67855979 -0.44749609  0.30502928],"[614, 278]"
[-0.285995 -0.475005  0.304993 -0.090003 -0.045     0.085004],[-0.67799874 -0.44072207  0.30497843],"[577, 276]"
[-0.296003 -0.454976  0.304995 -0.090001 -0.044998  0.087998],[-0.68926264 -0.44122447  0.30499014],"[579, 334]"
[-0.295991 -0.455     0.304983 -0.090003 -0.045002  0.086003],[-0.68853287 -0.42755685  0.30496843],"[505, 332]"
[-0.29599  -0.465008  0.305008 -0.089997 -0.045004  0.088   ],[-0.6892508  -0.45128961  0.30502257],"[634, 334]"
[-0.295993 -0.465009  0.304991 -0.090002 -0.045     0.086003],[-0.68853521 -0.43757069  0.30498129],"[559, 333]"
[-0.295995 -0.475004  0.304998 -0.09     -0.045001  0.088   ],[-0.68925529 -0.46127105  0.304998  ],"[689, 333]"
[-0.305988 -0.455019  0.304989 -0.09     -0.045004  0.088003],[-0.69924901 -0.44130664  0.304989  ],"[579, 390]"
[-0.305993 -0.455004  0.304958 -0.090009 -0.045002  0.086009],[-0.69853571 -0.42757289  0.30491429],"[505, 388]"
[-0.305985 -0.465012  0.30498  -0.090001 -0.045003  0.088004],[-0.69924608 -0.45130165  0.30497514],"[635, 390]"
[-0.306002 -0.464993  0.304986 -0.089998 -0.045005  0.085998],[-0.69854317 -0.43753982  0.30499571],"[559, 387]"
[-0.306004 -0.464987  0.305008 -0.089997 -0.044999  0.084995],[-0.69800489 -0.43067152  0.30502257],"[522, 386]"
[-0.306003 -0.474994  0.30498  -0.090002 -0.045003  0.088001],[-0.69926319 -0.4612582   0.30497029],"[690, 388]"
[-0.306001 -0.474998  0.304986 -0.090002 -0.045001  0.086001],[-0.69854226 -0.44754599  0.30497629],"[614, 387]"
[-0.306006 -0.47498   0.304974 -0.090004 -0.045002  0.085002],[-0.69800812 -0.44067855  0.30495458],"[576, 383]"
[-0.316005 -0.454992  0.304986 -0.090003 -0.044999  0.088001],[-0.70926502 -0.44125135  0.30497143],"[579, 445]"
[-0.316002 -0.455     0.305012 -0.089998 -0.045001  0.086   ],[-0.70854413 -0.42756052  0.30502171],"[505, 443]"
[-0.316001 -0.454997  0.305027 -0.089999 -0.045     0.084999],[-0.70800344 -0.42069921  0.30503186],"[467, 441]"
[-0.315992 -0.465006  0.304995 -0.090001 -0.044999  0.088002],[-0.7092526  -0.45128192  0.30499014],"[635, 445]"
[-0.315984 -0.475007  0.304995 -0.090005 -0.045001  0.088005],[-0.70924464 -0.4612841   0.30497072],"[691, 444]"
[-0.315999 -0.474996  0.305021 -0.089996 -0.045     0.085996],[-0.70853989 -0.4475388   0.30504043],"[615, 442]"
[-0.320999 -0.455008  0.304987 -0.090003 -0.045002  0.088005],[-0.71425998 -0.44129481  0.30497243],"[579, 472]"
[-0.320992 -0.455     0.304987 -0.090002 -0.045003  0.086001],[-0.71353326 -0.42754799  0.30497729],"[505, 469]"
[-0.320995 -0.455003  0.304958 -0.090006 -0.045001  0.085006],[-0.71299866 -0.42071924  0.30492886],"[467, 469]"
[-0.321008 -0.465001  0.30499  -0.090002 -0.045001  0.088002],[-0.71426843 -0.45127207  0.30498029],"[635, 473]"
[-0.321013 -0.46497   0.304988 -0.09     -0.045003  0.085997],[-0.71355302 -0.43750027  0.304988  ],"[560, 472]"
[-0.320996 -0.465008  0.304975 -0.090003 -0.045005  0.085005],[-0.71300034 -0.43073191  0.30496043],"[522, 468]"
[-0.32101  -0.474996  0.304987 -0.090002 -0.044999  0.088001],[-0.71427019 -0.46126021  0.30497729],"[691, 473]"
[-0.321009 -0.474994  0.305024 -0.089997 -0.044999  0.085997],[-0.71355003 -0.44753881  0.30503857],"[615, 470]"
